shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
1,Madero,Gastronomia,78,64,12782.38,163.88,CS,39
1,Cotton On,Moda,47,36,11274.44,239.88,CS,40
1,Me.Linda,Beleza e Bem-estar,84,73,11207.09,133.42,CS,41
1,Pernambucanas,Moda,80,63,11028.8,137.86,CS,42
1,Companhia da Moda,Moda,19,18,10725.4,564.49,CS,43
1,Pop Me,Moda,39,37,10672.53,273.65,CS,44
1,Hering Store,Moda,36,29,10640.15,295.56,CS,45
1,Claro,Telefonia,2,2,10221.64,5110.82,CS,46
1,O Boticário,Beleza e Bem-estar,73,56,10077.82,138.05,CS,47
1,Ótica Diniz,Ótica,8,8,9927.8,1240.97,CS,48
1,McDonald's,Gastronomia,168,121,9894.01,58.89,CS,49
1,Bacio di Latte,Gastronomia,164,110,9419.52,57.44,CS,50
1,Monviso,Ótica,5,5,9287.0,1857.4,CS,51
1,Damyller,Moda,13,13,9212.4,708.65,CS,52
1,Ri Happy Baby,Infantil,50,42,9035.71,180.71,CS,53
1,Outback Steakhouse,Gastronomia,39,35,8304.41,212.93,CS,54
1,Brooksfield,Moda,6,6,8054.94,1342.49,CS,55
1,Spoleto,Gastronomia,149,100,7623.29,51.16,CS,56
1,Democrata,Calçados,17,15,7424.96,436.76,CS,57
1,Life Vivara,Joalheria,12,11,7124.0,593.67,CS,58
1,ADCOS,Beleza e Bem-estar,14,13,6959.78,497.13,CS,59
1,Bom Beef,Gastronomia,87,49,6928.11,79.63,CS,60
1,Casa Maria,Casa e Decoração,98,62,6688.32,68.25,CS,61
1,Luz da Lua,Moda,6,5,6675.8,1112.63,CS,62
1,Constance,Calçados,23,21,6570.3,285.67,CS,63
1,Cartes - Cozinha do Mundo,Gastronomia,97,64,6503.11,67.04,CS,64
1,FARM Rio,Moda,17,15,6495.63,382.1,CS,65
1,Chuá Brand,Moda Feminina,6,6,6366.9,1061.15,CS,66
1,Polo Wear,Moda,39,35,6243.29,160.08,CS,67
1,Vicio DiPrata,Joalheria,23,21,6202.3,269.67,CS,68
1,Ophicina,Moda,9,9,6077.94,675.33,CS,69
1,Giraffas,Gastronomia,117,75,6051.23,51.72,CS,70
1,Arquipélago  Sushi,Gastronomia,18,14,6019.98,334.44,CS,71
1,Hefesto Acessorios,Presentes e Acessórios,27,15,6013.87,222.74,CS,72
1,Burger King,Gastronomia,108,81,5919.95,54.81,CS,73
1,Bagaggio,Presentes e Acessórios,12,11,5840.8,486.73,CS,74
1,Mini Kalzone,Gastronomia,225,157,5664.8,25.18,CS,75
1,Lupo,Moda,29,27,5548.32,191.32,CS,76
1,Cinépolis,Lazer,69,57,5465.0,79.2,CS,77
1,Anacapri,Lazer,15,10,5215.47,347.7,CS,78
1,WePink,Beleza e Bem-estar,35,31,4988.85,142.54,CS,79
1,Narbona Brasil,Gastronomia,14,14,4912.08,350.86,CS,80
1,Camarão Express,Gastronomia,48,19,4898.11,102.04,CS,81
1,Kings  Sneakers,Calçados,7,7,4897.5,699.64,CS,82
1,Reserva,Moda,8,7,4783.0,597.88,CS,83
1,Sunglass Hut,Ótica,3,3,4687.0,1562.33,CS,84
1,Gamelas & Panella's,Gastronomia,76,46,4304.73,56.64,CS,85
1,John John,Moda,13,11,4230.82,325.45,CS,86
1,Zanoni Sushi,Gastronomia,66,37,4206.58,63.74,CS,87
1,Docejo,Gastronomia,81,59,4188.0,51.7,CS,88
1,Natura,Beleza e Bem-estar,37,36,3995.14,107.98,CS,89
1,Forneria Carbone,Gastronomia,10,9,3849.48,384.95,CS,90
1,PRIME GAMES,Eletrônicos,3,3,3683.0,1227.67,CS,91
1,Me Blue,Presentes e Acessórios,24,23,3596.5,149.85,CS,92
1,Swell Poke,Gastronomia,48,42,3574.85,74.48,CS,93
1,Montana Grill,Gastronomia,60,43,3539.04,58.98,CS,94
1,Divino Fogão,Gastronomia,54,31,3431.77,63.55,CS,95
1,World Tennis,Calçados,7,7,3211.92,458.85,CS,96
1,Spedini Trattoria Expressa,Gastronomia,65,41,3091.87,47.57,CS,97
1,Capivalley,Promocional,5,5,3000.0,600.0,CS,98
1,Manly,Moda Feminina,5,5,2944.61,588.92,CS,99
1,Griletto,Gastronomia,71,46,2896.62,40.8,CS,100
1,New Era,Moda,10,7,2738.0,273.8,CS,101
1,Mr. Cat,Calçados,6,5,2698.8,449.8,CS,102
1,Bob's Sorvete - Quiosque,Gastronomia,96,71,2655.3,27.66,CS,103
1,Tomato,Gastronomia,41,33,2630.99,64.17,CS,104
1,Lez a Lez,Moda,5,4,2448.65,489.73,CS,105
1,Continente Shopping - Estacionamento,Serviços,85,76,2277.0,26.79,CS,106
1,It Cell,Eletrônicos,10,9,2058.91,205.89,CS,107
1,Mr. Cheff,Gastronomia,52,27,1861.74,35.8,CS,108
1,Café Cultura,Gastronomia,45,36,1720.42,38.23,CS,109
1,Provin Joias,Não informado,8,8,1712.0,214.0,CS,110
1,Riviera Café,Gastronomia,33,19,1689.0,51.18,CS,111
1,Hot Dog Du Piru,Gastronomia,46,33,1652.75,35.93,CS,112
1,Quebra Gelo,Presentes e Acessórios,7,7,1640.0,234.29,CS,113
1,Floripratas,Presentes e Acessórios,12,11,1591.75,132.65,CS,114
1,Morana,Presentes e Acessórios,14,14,1573.3,112.38,CS,115
1,AstroBox,Gastronomia,31,28,1568.03,50.58,CS,116
1,Outlet Suplementos,Esportes,8,7,1529.88,191.24,CS,117
1,Borelli Gelato,Gastronomia - Sorvetes,36,30,1490.0,41.39,CS,118
1,L'OCCITANE AU BRESIL,Beleza e Bem-estar,5,5,1489.6,297.92,CS,119
1,Subway,Gastronomia,39,28,1484.8,38.07,CS,120
1,Goldko,Gastronomia,11,11,1423.12,129.37,CS,121
1,Jah do Açaí,Gastronomia,15,11,1415.05,94.34,CS,122
1,Le Postiche,Presentes e Acessórios,6,6,1189.93,198.32,CS,123
1,Chiquinho Sorvetes,Gastronomia - Sorvetes,46,37,1062.0,23.09,CS,124
1,Sandaliaria,Calçados,5,5,1051.19,210.24,CS,125
1,Mr Trend,Ótica,3,3,1009.0,336.33,CS,126
1,Frank d'Ferran Cabelereiros,Salão de Beleza | Barbearia,3,3,952.0,317.33,CS,127
1,Kfc,Gastronomia,17,17,877.5,51.62,CS,128
1,Lilica & Tigor,Infantil,4,2,824.85,206.21,CS,129
1,World Cookies,Gastronomia,40,14,808.5,20.21,CS,130
1,Ótica Oculum,Ótica,1,1,790.0,790.0,CS,131
1,EVOLUCELL CELULARES,Telefonia,2,1,675.0,337.5,CS,132
1,Melissa,Calçados,3,3,609.5,203.17,CS,133
1,Botoclinic,Beleza e Bem-estar,1,1,599.0,599.0,CS,134
1,Homem do Sapato,Moda,1,1,599.0,599.0,CS,135
1,Milky Moo,Gastronomia,17,15,594.0,34.94,CS,136
1,Smartcase,Eletrônicos,3,3,458.8,152.93,CS,137
1,Lanzara,Joalheria,1,1,375.0,375.0,CS,138
1,Dedal Oficina de Costura,Serviços,1,1,282.0,282.0,CS,139
1,Fini,Gastronomia,5,4,254.2,50.84,CS,140
1,Figueira Store,Esportes,1,1,199.99,199.99,CS,141
1,Mate Chique,Outros,2,2,155.8,77.9,CS,142
1,WOW Park,Lazer,4,4,115.8,28.95,CS,143
1,BRANDO BIKES,Esportes,1,1,1.35,1.35,CS,144
2,Renner,Moda,379,274,119259.46,314.67,BS,1
2,Centauro,Esportes,190,164,82444.34,433.92,BS,2
2,Vivara,Joalheria,23,20,77066.99,3350.74,BS,3
2,Lindt,Gastronomia,170,140,65352.63,384.43,BS,4
2,Victor Hugo,Moda Feminina,18,11,64241.71,3568.98,BS,5
2,C&A,Moda,170,142,51099.52,300.59,BS,6
