shopping_id,cnpj,loja_nome,segmento,cupons,clientes,valor_total,shopping_sigla,participou
2,41911591000136,Plié,Moda,8,7,1767.7,BS,True
2,01512104026708,L'occitane Bresil,Beleza e Bem-estar,10,10,1736.29,BS,True
2,31957862000130,Rip Curl,Moda,4,3,1729.92,BS,True
2,14102914000178,MB acessórios,Presentes e Acessórios,11,9,1722.27,BS,True
2,23449012000365,Quiksilver,Moda,3,3,1638.52,BS,True
2,48328808000129,De Ville Gourmet,Gastronomia,23,16,1624.46,BS,True
2,33927843000600,Ugg,Moda Feminina,1,1,1599.0,BS,True
2,12136108005740,Monte Carlo Joias,Joalheria,1,1,1598.0,BS,True
2,03406250000467,Balneário Shopping - Estacionamento,Serviços,40,37,1485.0,BS,True
2,33004058002025,Anselmi,Moda Feminina,1,1,1456.0,BS,True
2,09111729000100,10 Pastéis,Gastronomia,38,22,1417.65,BS,True
2,03959730000536,World Tennis,Calçados,6,5,1409.97,BS,True
2,42887800000116,Giraffa's,Gastronomia,21,18,1397.0,BS,True
2,11377588000628,Burger King,Gastronomia,26,19,1386.6,BS,True
2,23112252000108,Camarão Express,Gastronomia,20,14,1360.3,BS,True
2,03366550000117,Manly,Moda Feminina,4,3,1356.3,BS,True
2,06269953000136,Pegada,Calçados,3,1,1329.96,BS,True
2,28970852000120,Sestini,Presentes e Acessórios,2,2,1309.7,BS,True
2,02148561000320,Lacoste,Moda,3,2,1298.0,BS,True
2,01167639003063,Beagle,Moda,7,6,1279.44,BS,True
2,26978754000295,Shantal Grill & Risoto,Gastronomia,9,7,1248.6,BS,True
2,08985078000114,Subway,Gastronomia,31,23,1237.6,BS,True
2,94087921001663,Gnc Balneario,Lazer,19,14,1193.0,BS,True
2,31848701000109,Cores em Cacau,Gastronomia,2,2,1165.2,BS,True
2,30787452000126,Orientali,Gastronomia,18,14,1158.76,BS,True
2,15048124004373,Sephora,Beleza e Bem-estar,1,1,1043.16,BS,True
2,29155192000600,Duladu,Gastronomia,5,4,1019.7,BS,True
2,02241978000170,Bonna Panquecas e Massas,Gastronomia,19,13,1019.5,BS,True
2,02714890000129,Liquori Caffè Gourmet,Gastronomia,22,17,975.0,BS,True
