id,cliente_id,promocao_id,shopping_id,pontos_totais,pontos_unitarios,quantidade_numeros,cliente_saldo_anterior,cliente_saldo_posterior,status,data_resgate,shopping_sigla
271,117735,1,2,3000,100,30,34132,31132,Resgatado,2026-03-19 20:18:11,BS
272,117735,1,2,3000,100,30,31132,28132,Resgatado,2026-03-19 20:19:19,BS
273,117735,1,2,1000,100,10,28132,27132,Resgatado,2026-03-19 20:19:59,BS
274,117735,1,2,3000,100,30,27132,24132,Resgatado,2026-03-19 20:21:24,BS
275,117735,1,2,2000,100,20,24132,22132,Resgatado,2026-03-19 20:23:17,BS
276,338710,1,6,100,100,1,7089,6989,Resgatado,2026-03-19 20:29:54,NS
277,338710,1,6,100,100,1,6989,6889,Resgatado,2026-03-19 20:30:26,NS
278,308755,1,5,1100,100,11,12845,11745,Resgatado,2026-03-19 20:31:17,GS
279,338710,1,6,500,100,5,6889,6389,Resgatado,2026-03-19 20:31:26,NS
280,338710,1,6,300,100,3,6389,6089,Resgatado,2026-03-19 20:32:22,NS
